ts_code,symbol,name,area,industry,fullname,enname,list_date
688095.SH,688095.0,福昕软件,福建,软件服务,福建福昕软件开发股份有限公司,"Fujian Foxit Software Development Joint Stock Co.,Ltd.",2020-09-08
688096.SH,688096.0,京源环保,江苏,环境保护,江苏京源环保股份有限公司,"Jiangsu Jingyuan Environmental Protection Co.,Ltd.",2020-04-09
688097.SH,688097.0,博众精工,江苏,专用机械,博众精工科技股份有限公司,"Bozhon Precision Industry Technology Co.,Ltd.",2021-05-12
688098.SH,688098.0,申联生物,上海,农业综合,申联生物医药(上海)股份有限公司,Shanghai Shen Lian Biomedical Corporation,2019-10-28
688099.SH,688099.0,晶晨股份,上海,半导体,晶晨半导体(上海)股份有限公司,"Amlogic (Shanghai) Co.,Ltd.",2019-08-08
688100.SH,688100.0,威胜信息,湖南,通信设备,威胜信息技术股份有限公司,"Willfar Information Technology Co., Ltd.",2020-01-21
688101.SH,688101.0,三达膜,陕西,环境保护,三达膜环境技术股份有限公司,"Suntar Environmental Technology Co., Ltd.",2019-11-15
688102.SH,688102.0,斯瑞新材,陕西,铜,陕西斯瑞新材料股份有限公司,"Shaanxi Sirui Advanced Materials Co.,Ltd.",2022-03-16
688103.SH,688103.0,国力股份,江苏,电气设备,昆山国力电子科技股份有限公司,"Kunshan Guoli Electronic Technology Co., Ltd.",2021-09-10
688105.SH,688105.0,诺唯赞,江苏,生物制药,南京诺唯赞生物科技股份有限公司,"Nanjing Vazyme Biotech Co., Ltd.",2021-11-15
688106.SH,688106.0,金宏气体,江苏,化工原料,金宏气体股份有限公司,"Jinhong Gas Co., Ltd.",2020-06-16
688107.SH,688107.0,安路科技,上海,半导体,上海安路信息科技股份有限公司,"Shanghai Anlogic Infotech Co., Ltd.",2021-11-12
688108.SH,688108.0,赛诺医疗,天津,医疗保健,赛诺医疗科学技术股份有限公司,Sino Medical Sciences Technology Inc.,2019-10-30
688109.SH,688109.0,品茗科技,浙江,软件服务,品茗科技股份有限公司,"Pinming Technology Co., Ltd.",2021-03-30
688110.SH,688110.0,东芯股份,上海,半导体,东芯半导体股份有限公司,"Dosilicon Co., Ltd.",2021-12-10
688111.SH,688111.0,金山办公,北京,软件服务,北京金山办公软件股份有限公司,"Beijing Kingsoft Office Software, Inc.",2019-11-18
688112.SH,688112.0,鼎阳科技,深圳,电器仪表,深圳市鼎阳科技股份有限公司,"Siglent Technologies Co., Ltd.",2021-12-01
