ts_code,introduction,main_business
430489.BJ,公司是专业从事PVC环保热稳定剂助剂研发、生产和销售的高新技术企业，公司主营业务为生产、销售环保热稳定剂助剂，主要产品(β-二酮化合物)为DBM和SBM。公司是我国化工行业《二苯甲酰甲烷》、《硬脂酰苯甲酰甲烷》标准的主起草单位，先后被评为高新技术企业、国家火炬计划重点高新技术企业、国家火炬计划“硬脂酰苯甲酰甲烷”、“二苯甲酰甲烷”的项目承担单位、国家知识产权优势企业、国家科技型中小企业技术创新基金承担单位、安徽省专精特新中小企业、安徽省创新型企业、安徽省标准化示范企业等，拥有省认定企业技术中心、省级工程技术研究中心、省级博士后工作站。,"二苯甲酰甲烷,硬脂酰苯甲酰甲烷,硬脂酸盐的生产,销售."
430510.BJ,公司成立于2001年7月，公司主营业务是研发、生产和销售精密机械加工件和压铸件，主要客户为高端装备制造、高速列车/轨道交通、汽车等行业的国内外知名品牌制造商。是一家以高端装备制造、高速列车/轨道交通、汽车零部件等行业的知名品牌制造商提供核心零部件的精密机械加工和压铸制造为核心技术和核心产品的中外合资企业。公司制造、加工的产品种类众多，其中最具代表性和竞争力的产品包括精密直线导轨滑块、高速列车减震器主件、伺服电机主轴、汽车安全带装置转轴、汽车发动机涨紧支臂。,"半导体领域,工业自动化领域,汽车领域,轨道交通领域精密零部件的研发,生产与销售."
430556.BJ,公司主要从事智能电力监控产品的研发、生产和销售以及电力监控系统集成服务。自设立以来，公司紧跟电力监控行业技术发展和市场需求变化，研发出具有核心技术的电力监控仪表、电力监控装置、用电安全保护装置和传感器等智能电力监控产品。公司凭借丰富的产品经验和技术创新实力，持续开发出能满足用户个性化需求的智能电力监控产品，并广泛应用于数据中心、通信基站、新能源充电桩、轨道交通、工业建筑与市政等领域。以数据中心为例，单个大型数据中心通常包含上百个列头柜、上千组机架和数万个服务器，设备数量多、能耗高、用电环境复杂，对电力供应的安全稳定和节能环保要求高。客户通过在数据中心内部电力线路安装电力监控仪表、电力监控装置和传感器等产品来实时测量感知电流、电压、功率、谐波、电能、功率因数、相位角、绝缘电阻等电力参数和温度、湿度等用电环境参数，以精准掌握用电设备和电力线路的运行情况，实现数据记录、统计分析、故障诊断、控制保护和设备管理等功能，并通过网络将数据传输至电力监控系统，为用户发现故障隐患和准确计算数据中心PUE指标提供基础数据保障，进而为数据中心创造安全可靠、节能高效和智能运维的用电环境。,"主要从事智能电力监控产品的研发,生产和销售以及电力监控系统集成服务"
430564.BJ,公司成立于1999年，专业从事摄影测量与遥感、工程测量、地籍测绘、地理信息系统(GIS)工程、地图编制等测绘及地理信息产业，为城市规划、土地管理、资源开发、交通、物流、公共安全等行业提供高质量的地理信息产品和技术服务，2005年7月获高新技术企业认定证书，通过了ISO9001-2000质量管理体系认证，具有国家综合甲级测绘资质证书。2007年、2008年、2009年、2010年连续多年被西安市工商行政管理局、西安市人民政府授予“守合同重信用”单位称号。公司聚集了一批掌握现代测绘高新技术的高级工程师、工程师、科研开发及生产技术人员。软件研发负责人为海外留学归国的高端技术人才，拥有先进的管理理念及丰富的软件研发的经验。,遥感与测绘地理信息数据服务和空间信息系统开发应用与集成服务
430685.BJ,公司是一家服务于工业、农业、环保、教育、医院、科研、药业等领域超声波装备及相关科学仪器的国家高新技术企业。新芝多次被评为“行业十大品牌”，承担国家科技部发改委国家高新技术项目，目前正承担国家卫生部、科技部重大专项。有相关领域的研究员、高级工程师数名，具有先进、完善的研发条件和生产流水线。已经通过ISO9001：2008国际质量管理体系认证、ISO13485-2003医疗器械质量管理体系认证，取得了多项CE认证、医疗器械生产许可证及医疗器械注册证。新芝人本着“精细就是生命”的理念，围绕“一个中心，两个基本点”，以市场为中心，以质量和服务为基本点。在全国各大城市均设有办事处和售后服务中心，受到用户一致好评。为鼓励科研人员多出成果，凡使用新芝产品并有文章发表在国内核心期刊中我公司给予奖励。,"生命科学仪器的研发,生产与销售"
430718.BJ,"公司于2009年7月在合肥市工商局正式注册成立。公司系高新技术型企业，主要产品有彩晶面板、钣金加工、汽车钣金模具、玻璃制品、家电总成及电器配件等。座落于合肥市国家级高新技术产业开发区,位于风景秀丽的蜀山脚下，是属于世界级的家电产业基地。公司一期现已建成2条钢化玻璃生产线和16条彩晶玻璃生产线；钣金车间现有压力机等生产设备61台，将成为国内玻璃钢化、磨边和印刷为一体的大型彩晶玻璃制造加工基地以及钣金加工基地。通过全体员工的努力，于2011年4月11日通过ISO9001：2008、ISO14001:2004、GB/T28001-2001三标体系认证。2013年8月现金收购佛山博瑞泰为子公司，以及合并翔鸿光电公司，并于2013年9月启用模具事业部厂房，整体架构合肥高科为：彩晶事业部、钣金事业部、模具事业部三大工厂体系。2013年8月进行股份制改造完成，并启动新三板挂牌进程，预计2013年底挂牌完成。","金属结构件,装饰面板,金属模具等业务的设计,研发,生产和销售等"
830799.BJ,公司是一家向金融机构提供深度互联网整体解决方案的计算机科技公司。公司拥有与自身业务相关的自主知识产权、体系较为完备的在线存款、在线支付、在线贷款、在线运营、在线身份认证系列产品及企业级订制开发服务，向银行为主的金融机构及其他大型企业提供创新业务咨询、IT系统建设规划、软硬件开发、大数据运营服务等专业解决方案。公司以“平台级互联网金融系列软件+专业设计+100%贴身定制服务”为核心竞争力，多年来专注研究金融业务与互联网的整合，致力于推动传统金融机构向互联网金融的转型，实现互联网金融智能化，成为产品覆盖金融IT各领域的计算机科技企业。,"公司是一家向金融机构提供深度互联网整体解决方案的计算机科技公司.公司拥有与自身业务相关的自主知识产权,体系较为完备的在线存款,在线支付,在线贷款,在线运营,在线身份认证系列产品及企业级订制开发服务,向银行为主的金融机构及其他大型企业提供创新业务咨询,IT系统建设规划,软硬件开发,大数据运营服务等专业解决方案."
830809.BJ,公司是磷酸铁锂电池正极材料的生产厂商，公司以多年磷酸盐产品研发、制造为依托，开发出了动力锂电池正极材料磷酸铁锂的核心前驱体——磷酸铁产品，成为了国内磷酸铁锂需求客户的供应商。公司秉承“诚信创新”的企业价值观，坚持以市场需求和客户需求为第一标准，立足于锂电池材料和锂电池的现状及发展趋势，把握机遇，持续创新。近年来，公司生产的磷酸铁产品广泛应用于国内磷酸铁锂动力电池行业。,"磷酸,磷酸铁,磷酸铁锂的生产和销售;锂,钴,镍等原矿石,半成品,成品以及磷酸铁锂,三元材料,锂电池(各规格,型号)及本企业生产产品等系列研发与制造所需的相关设备,仪器仪表的进出口贸易业务;废旧锂电池拆解回收,材料再生循环利用"
830832.BJ,公司是一家专业从事石油化工催化新材料、环保催化新材料和煤化工催化新材料制造的高新技术企业。公司的主要产品是应用于石油化工催化、环保催化和煤化工催化的催化剂分子筛，主要包括ZSM-5系列分子筛、Y型系列分子筛、BETA系列分子筛、汽车尾气治理新材料等。公司具有完善的研发、生产、销售和服务体系，实现了主要产品生产制造中关键工序流程的智能化与自动化，是国内主要的催化剂分子筛系列产品生产企业之一。公司及子公司先后获得“中国专利山东明星企业”、“国家知识产权优势企业”、“高新技术企业”、“山东省诚信企业”、“省瞪羚企业”、“2018年度山东省优秀新三板企业”、“2019年度山东省优秀新三板企业”、“淄博市创新成长型企业”等资质和荣誉，并先后取得了TüV-南德认证公司ISO9001质量管理体系认证、ISO14001环境管理体系认证和OHSAS18001职业健康安全认证。,"应用于石油化工催化,环保催化和煤化工催化的催化剂分子筛的研发,生产和销售,主要包括ZSM-5系列分子筛,Y型系列分子筛,BETA系列分子筛,汽车尾气治理新材料等"
830839.BJ,公司是一家致力于液压机械产品设计、研发与制造的专业设备生产企业。主导产品为汽车液压缸、煤矿机械液压缸、工程机械液压缸、海洋工程装备液压缸等，产品品种120余种，年生产能力20万台套，是目前山东省内规模最大的液压油缸生产基地。2005年被评为市级高新技术企业：2006年通过ISO/TS16949国际质量体系认证：2007年顺利通过了中国煤科院安全标志认证，取得了矿用油缸生产资格；2008年被日照经济贸易委员会评为市级技术中心，并被省经济贸易委员会评为AAA级标准化良好行为企业；2009年被山东省科学技术厅认定为高新技术企业，汽车液压缸被山东省质量监督局评为“山东省名牌产品”。2010年公司技术中心被评为省级技术中心，并挂牌成立山东科技大学产学研基地，2011年被省科技厅评为省级创新型企业。,"液压油缸的研发,设计,生产和销售"
