ts_code,introduction,main_business
831961.BJ,公司专注于研发无线通信与射频微波测试仪器。经过多年的发展，公司重点拓展无线通信市场、无线电监测和北斗导航市场、以无线通信为主的智能制造市场三个方向，拥有了自主品牌和一系列测试仪器核心专利技术。在无线通信和射频微波测试领域，公司经过多年发展形成了较强的自主研发能力，并通过持续的研发投入及参与国家科技重大专项研发课题，积累了较强的技术优势。公司拥有多项发明专利、实用新型专利、外观设计专利.公司从2012年起先后牵头承担了国家“新一代宽带无线移动通信网”科技重大专项课题开发任务、上海市软件和集成电路产业发展专项、新一代信息基础设施建设信息化发展专项、上海市产业转型升级发展专项(工业强基)、战略性新兴产业发展专项、科技创新行动等科研任务，还承担了上海无线通信测试仪器工程技术研究中心的持续建设任务。2016年12月，公司获得“国家科学技术进步奖”特等奖。公司作为IMT-2020(5G)推进组成员，全面开展5G通信测试技术的研究，推出了5G信号源、5G信号分析仪、5G扫频仪、5G信道模拟器等一系列面向5G的产品及测试解决方案，核心竞争力不断提升。,"公司主要产品包括信号模拟与信号发生系列,信号分析与频谱分析系列,矢量网络分析系列,无线网络测试与信道模拟系列,无线电监测与北斗导航测试等系列测试仪器与解决方案"
832000.BJ,"公司主要从事汽车滤清器的研发、生产和销售，公司产品主要为汽车滤清器，包括空气滤清器、空调滤清器、机油滤清器和燃油滤清器四大系列，共6,000多个品种，广泛应用于乘用车、商用车售后服务市场。公司产品“环保型旋装式机油滤清器”被认定为安徽省2013年度重点新产品和安徽省高新技术产品。2011年公司被慧聪汽车配件网授予“十佳滤清器民族品牌”称号,2012年度、2013年度公司被慧聪汽车配件网授予“十佳滤清器知名品牌”称号，2014年度公司被中国汽车配件用品行业总评榜组织委员会授予“中国汽车用品行业十大驰名品牌”称号。","汽车滤清器及过滤材料的研发,生产和销售"
832023.BJ,公司主要从事热带果蔬原料制品的研发、生产和销售，主要产品包括原料果汁、速冻果蔬、鲜果等。公司原料果汁产品包括浓缩果汁、NFC、调配果汁等多种形态和规格，掌握芒果、西番莲、荔枝等四十多种果蔬加工工艺，公司聚焦热带果蔬产地加工，在广西北海、海南定安、四川攀枝花、湖北荆门拥有四个现代化工厂，产能布局涵盖中国热带果蔬主要产区。公司以客户需求为导向开展产品创新、服务创新和模式创新，深度融入下游客户供应链、创新链和价值链，为客户提供“产品+配方+服务”的一站式解决方案。,"果蔬原浆,速冻产品,果蔬汁饮料等,鲜果销售"
832089.BJ,"公司一直致力于通过技术进步拓宽改性塑料产品在工业中的应用,现在公司已发展成产品应用领域以汽车零部件为主，同时涵盖家电、通信、电动工具、电气、交通运输等领域的规模性企业，并获得国内多个知名厂商的认证，成为国内改性塑料行业最具研发实力和规模生产力的专业服务商之一。公司目前拥有4项发明专利、10项实用新型专利，并先后承担和完成了多项国家火炬计划项目，还先后被认定为“苏州汽车零部件产业基地”、“江苏省工程技术研究中心”、“江苏省长玻纤增强改性塑料工程技术中心”，是获得江苏省科学技术厅、江苏省财政厅、江苏省国家税务局、江苏省地方税务局共同认可的高新技术企业。","改性塑料的研发,生产,销售"
832110.BJ,公司主要从事LED控制器的研发，生产和销售。包括LED智能照明解决方案的设计、控制技术的研究开发、嵌入式软件的设计开发等。公司主要产品为LED控制器，LED控制器为LED智能照明系统软硬件的中枢，包括LED驱动、控制器、网关及各类接口等组件。产品用于实现对室内外LED智能照明设备的启动、强弱调节、色彩调节、定时控制、场景设置等功能。公司产品主要销往欧美国家。公司已在2010年取得SGS公司颁发的ISO9001:2008质量管理体系认证，同时每个系列产品都通过了CE、FCC、RoHS标准检测，达到欧盟标准。,"主要从事智能电源及LED控制器的研发,生产与销售"
832145.BJ,公司是从事科技产品开发、工业产品应用推广、工程项目实施的综合性企业。主要为石油、石化企业提供加油站油气回收设备、液位量测设备、油气回收在线监控系统等产品，是相应国家标准、地方标准起草的参与单位；公司具有防雷工程专业乙级设计、施工资质，为通信、电力、铁路、石化等系统提供专业防雷设计和工程施工；同时为各种工业行业提供各类橡胶软管、膨胀节、加油/液/气枪，是国内重要的产品供应商。公司主要应用技术、设备为EAFEX、FAFNIR、DUERR、DEHN等德国著名厂商的品牌产品，具有国内最高级别的代理商资格以及特约维修服务商资格。通过与德国相关公司的研究开发合作，在中国建立了统一的技术销售平台，并拥有了公司自主开发研制的系统设备及产品。,"目前公司的主要产品包含加油站及油库油气回收在线监测系统,在线监测数据管理平台,加油站二次油气回收系统,加油站三次处理系统,液位量测系统,渗泄漏检测系统及检测服务等.主要为石油石化企业,环保部门提供油气回收在线监测及数据服务和VOCs综合解决方案,并为客户提供设计,研发,生产,安装调试,数据分析,第三方检测等服务."
832149.BJ,公司主要业务为嵌入式微控制器、无线传感网智能产品的研发、生产和销售以及其他电子元器件的销售。公司的主要产品为各种类型的单片机(微控制器)、集成电路和其他电子产品。公司产品应用涉及到的下游产品为各类仪器仪表(如智能电表、智能水表、智能热表和智能气表)、血糖仪、医疗诊疗设备、3D眼睛、室内智能控制面板、停车系统、烟雾感应报警等设备。公司获得国家重点支持领域高新技术企业、国家电子信息产业基地实训中心、国家火炬计划项目、浙江省高新技术企业、利尔达物联网嵌入式技术省级高新技术企业研究开发中心、浙江省著名商标、浙江省专利示范企业、浙江省信用管理示范企业、浙江省创新型试点企业等20多项政府认证及荣誉。,"公司主营业务为IC增值分销业务和物联网模块及物联网系统解决方案的研发,生产和销售."
832171.BJ,公司是一家主要提供系统集成服务的一体化IT服务企业。客户群体较为分散，分布在政府、教育以及其他各类企事业单位。服务的内容为基础咨询、技术支持、IT产品销售、系统集成、IT服务租赁以及售后服务。目前，公司已发展成为廊坊市优秀的一体化IT服务商之一，在系统集成领域具备良好的口碑，是当地代表性企业；是拥有自主产品、通过相关资质认证、业务链完整的企业之一。,"智慧城市业务,运维及服务,硬件销售"
832225.BJ,"公司是一家集科研、生产、销售为一体的具有自主进出口权的国家级高新技术企业。公司主营产品为LETONE-PIKES,LETONE-RIVULET,LETONE-CHALLENGER三大系列钢丝增强橡胶软管，以及134a汽车空调软管，耐热蒸汽软管，耐磨喷砂软管，各类橡胶软管总成。公司先后引进德国Mayer钢丝编织机6台，意大利OMA缠绕生产线1条，韩国seijin钢丝缠绕生产线6条，日产30吨的全自动混炼胶生产线1条，具有钢丝编织胶管日产5.6万米，超高压钢丝缠绕胶管日产1.5万米的供货能力。公司先后从韩国、德国、英国引进技术创新团队，同时与青岛科技大学高分子与材料学院联合组建超高压胶管研究中心，完成了《高性能钢丝缠绕液压胶管用内、中、外胶混合材料》、《高压钢丝缠绕胶管骨架层工艺研究》、《高脉冲高压钢丝缠绕胶管研究》以及《中压高脉冲钢丝编织胶管研究》等省、地级科研项目16项，现有发明专利11项，实用新型专利23项，省级科技成果4项。","高中低压橡胶软管及软管组合件的研发,生产和销售"
832278.BJ,公司主要从事以家用医疗器械为主的医疗器械及保健护理产品的研发、生产和销售，主要产品包括：血压计、雾化器、听诊器和冲牙器等。公司产品大多数应用于家庭，为广大家庭和个人消费者提供家庭血压监测、呼吸道疾病治疗、口腔清洁保健等功能，帮助消费者进行相关疾病的监测、预防和治疗，积极进行健康管理，提高身体健康水平。公司目前以境外市场为主要销售区域，产品已出口至欧洲、亚洲、美洲等区域的全球多个国家和地区。机械血压表、听诊器、电子血压计、雾化器等出口销售额在境内企业均遥遥领先。,"医疗器械及配件的设计,生产与销售;家用电子产品及配件的设计,生产与销售;泵,阀门,压缩机的生产与销售;网络技术,信息技术的开发,咨询,服务与转让;从事医疗器械技术咨询;自营和代理上述商品的进出口业务,但国家限定公司经营或者禁止进出口的商品除外."
832419.BJ,公司主要从事宠物食品的生产和销售。公司的产品种类丰富，全面覆盖宠物食品领域。其产品主要包括肉干产品、宠物罐头、宠物饼干、宠物洁牙骨饲料等大类，各个大类下细分为多个品种。公司紧跟市场走向，产品更新迅速，多区域渠道布局，销售增长强劲。公司积极跟踪市场最新发展情况，根据市场动向决定生产和销售，快速反应，及时开发新品种以应对市场流行趋势，满足消费者需求，把握市场机遇。同时设立研发部，专门改进产品以及试验新产品。研发部门的技术人员及时与公司销售部门沟通，了解国内外客户最新的产品需求，同时与生产、质检等部门进行产品研讨，并通过车间试验生产，及时推出新的品种。当前公司重点公关欧、美、日、韩等发达市场主体，同时积极开拓俄罗斯、印度、东南亚、拉美等新兴经济体市场，多区域、多举措并举，确保公司产品对外出口市场份额。并且公司高度重视网络销售，通过开设天猫旗舰店以及与京东等大型电商合作等方式积极推广公司产品。总体来讲，通过在国外、国内两大市场领域的积极运作，当前公司已经完成销售渠道的多区域、多市场布局，整体销售规模快速增长。,"生产,销售:宠物食品,单一饲料;销售宠物用品,从事宠物食品,单一饲料的研发."
832491.BJ,公司是专业从事敏感元器件和传感器及相应模组的研发、设计、生产和销售于一体的高新技术企业，具体业务包括传感器元器件及模组、换能器元件及模组和电声元器件等产品的研发、生产、销售等。公司先后被认定为“高新技术企业”、“中国电子元件行业协会敏感元器件与传感器分会理事单位”，“广州市小巨人企业”和“广东省第一批重点创新帮扶高成长性中小企业(上市培育企业)”，获得“电子元件行业百强企业”和“2012年福布斯中国最佳潜力企业”称号，具有较高的业内知名度和美誉度。,"智能传感器和执行器及相关应用的研究,设计,生产和销售"
832566.BJ,公司是以药品的生产与营销为主的专家型民营科技企业。公司旗下药业有限公司、医药贸易有限公司、大药房连锁有限公司，医药贸易有限公司下设物流配送中心、药品批发部和新特药分公司。公司主要生产硬胶囊剂、颗粒剂、片剂、散剂、搽剂和软膏剂。公司常年生产阿咖酚散、婴儿健脾散(曾用名婴儿素)、鱼腥草素钠片、安乃近片、风油精、清凉油以及水溶性维生素片等三十多个普药品种，2006年上市的新药胞磷胆碱钠片(化学药品第四类，治疗颅脑损伤或脑血管意外所引起的神经系统的后遗症)和苯甲酸利扎曲普坦胶囊(化学药品第3.1类，是治疗中到重度偏头痛患者的特异性药物)，均属于国家级新药；公司正在逐步形成以生产新特药为主，普药为辅的产品格局。,"生产,销售:片剂,硬胶囊剂,搽剂,散剂,软膏剂,中药饮片,口服混悬剂;开发,研制药品;种植,销售,收购:中药材(不含甘草,麻黄草)."
832662.BJ,公司自成立以来一直致力于铝制板翅式换热器及相关产品的研发、生产和销售。板翅式换热器是一种以翅片为传热元件的换热器，具有传热效率高、结构紧凑、重量轻、体积小等特点，广泛应用于工程机械、风力发电、机车、压缩机、石油石化、液压系统等多个领域，市场前景广阔。公司多年来在换热器制造领域积累了丰富的产品开发和制造经验，与客户建立了长期稳定的合作关系。,"板翅式换热器和换热系统的研发,设计,生产和销售"
832735.BJ,"公司专业从事内分泌、心血管等疾病治疗药物及其原料药的研发、生产和销售,并于2013年通过新版GMP认证。公司坚持“以特色求发展”的发展战略，致力于不断提高“三高(高血糖、高血脂、高血压)”人群的健康水平和生活质量。目前销售的品种有：国家1类新药“瑞彤”(盐酸吡格列酮片)；国家2类新药“唐瑞”(那格列奈片)；国家3类新药“复瑞彤”(吡格列酮二甲双胍片)、“波开清”(坎地氢噻片)、盐酸二甲双胍缓释片、甲钴胺胶囊等。其中，“波开清”为国内独家开发、“复瑞彤”为国内首研。德源早期产品“瑞彤”、“唐瑞”质量和疗效得到社会的广泛认可。","主要产品包括盐酸吡格列酮片,那格列奈片,吡格列酮二甲双胍片,坎地氢噻片,盐酸二甲双胍缓释片,甲钴胺胶囊以及盐酸吡格列酮,那格列奈,苯甲酸阿格列汀,安立生坦原料药等."
832802.BJ,江苏保丽洁环境科技股份有限公司，自2004年成立以来，一直致力于商用油烟净化设备、工业油烟净化设备的研发、制造与销售。保丽洁是国内油烟净化行业首家上市的企业(股票代码：832802)。经过十五年的发展，产品畅销全国34个省市自治区，并出口20多个口岸及国家。江苏保丽洁拥有多项自主知识产权，授权专利59项。其中21项国家发明专利、22项实用新型专利、16项外观专利。软件著作权10个，2个产品被列为国家火炬计划项目。保丽洁油烟净化器采用先进的双区窄间距静电技术，具有耗电少、效率高，体积小，重量轻、易清洗的特点。并采用嵌入式计算机技术，将十多年油烟净化经验转化成计算机程序，时刻跟踪并调整工作状态，使净化器稳定并发挥最大的效率。产品通过欧盟CE认证、美国Blue Heaven Technologies检测，净化效率超过国际同行1.79百分点。,"静电式商用油烟净化设备,静电式工业油烟净化设备"
832876.BJ,公司是一家方案设计公司(IDH)及ODM制造商。我们致力于提供客户嵌入式的软硬件解决方案。为知名品牌商及OEM客户提供我们专业的产品设计服务与制造，包括产品规划与定义，软硬件开发，ID及MD设计以及PCBA的制造与系统集成。设计的产品涵盖多个不同领域，包括：教育电子，汽车电子，通讯及网络，消费电子及工业产品。这些高品质的产品及性能都达到了主流市场标准。,"公司主营业务产品的终端领域覆盖消费电子产品,商用IoT智能终端等,其中,消费电子产品主要包括平板电脑,笔记本电脑及云存储终端;商用IoT智能终端包括智慧零售终端,网络及视频会议终端,智慧安防终端,工业控制终端等多领域终端设备.此外,公司还有少量基于芯片销售的解决方案业务,主要是为客户提供基于该芯片完整的软硬件解决方案,包括PCBA设计,实现满足客户要求的特定功能的软件设计等."
832885.BJ,公司是一家民营军工企业，具备完整的军工资质，为航天/军工、新能源以及工业自动化领域提供各类高端伺服系统、智能控制系统。公司集伺服电机、伺服驱动器、智能控制系统的研发、生产、销售、服务于一体，既可满足批量供货，也可响应个性化定制。公司多年来致力于伺服控制、伺服电机、电磁兼容、消隙控制、装备智能化控制，产品多次服务于国家重点工程，如“天宫”、“神舟”系列飞船测控、发射系统、火炮控制、雷达、卫星通讯等。公司另有工业级产品服务于风电变桨、新能源车、液压伺服、机器人等工业自动化等领域。,"随动控制总成,伺服驱动器,伺服电机等装备自动化及智能化产品的研发,生产,销售."
833075.BJ,公司创建于2008年(系承续原深圳市柏星龙包装设计有限公司基础上设立的新公司)，是一家专业从事酒类产品包装设计、研发、规划、生产于一体的文化创意型服务机构。经过多年努力，柏星龙已成为中国酒类包装行业内规模最大、服务体系最完整、获得联合国包装组织(WPO)“世界之星”包装设计奖项最多的酒类包装创意公司。并被评为深圳市“甲级设计单位”、“深圳包装协会常务理事单位”、“第九届深圳市知名品牌”、“深圳市罗湖区重点文化企业”、“国家高新技术企业”、“2011年度中国包装百强企业”、“2011年度中国纸包50强企业”等。,"公司主要为酒类,化妆品,茶叶,食品为代表的中高端消费品客户提供“品牌策略规划,创意设计,技术研发,产品交付”四位一体的专业创意包装设计及包装印刷纸品服务."
833171.BJ,公司主要经营干散货运输业务，包括国际远洋干散货运输、国内沿海以及内河干散货运输。国内沿海及内河运输方面，公司主要以电煤运输为主，是国内沿海电煤运输量最大的企业之一，同时积极拓展社会煤炭、粮食、钢材以及矿石等干散货运输市场。国际远洋运输方面，公司坚持远洋运输的战略思路，积极开辟远洋运输市场，为客户提供煤炭、粮食、矿砂、化肥、钢材、木材、农产品等货物的国际海上运输服务，航线遍及多个国家和地区，通过不同的船型和周到的服务，来满足客户不同的需求。目前已形成了以干散货运输为主业，涉及船舶管理、煤炭销售、融资租赁、航运咨询、货运代理等多元化产业经营模式，已成长为国际国内干散货运输市场上的重要力量。,"国际远洋,国内沿海及长江中下游的干散货运输业务"
833230.BJ,公司自2010年成立至今，主要从事植物提取物的纯化、合成及纵深开发，包括枳实提取物深加工产品系列、槐米提取物深加工产品系列、青蒿提取物深加工产品系列以及综合产品系列的研发、生产和销售。丰富的资源优势，近二十年的植提经验团队，近十年朴实无华的基础工作，成都欧康以高于30%的年增长速度领先于植物提取领域。800㎡的QC中心配备了HPGC、HPLC、TLC、UV、颗粒度分析仪、金属探测仪及微生物检测室等全套检测设备。可按CP、USP、EP、DAB等要求自主开展检测工作。QA建立了公司质量控制(管理)体系并负责监督及实施以确保整个生产流程符合GMP ISO9001ISO14001HACCP等管理体系。公司已通过美国RST的CGMP认证、KOSHER、ISO9001等认证。,"公司是一家主要从事植物提取物的研发,生产和销售的国家高新技术企业,并专注于包括槲皮素,芦丁,地奥司明,橙皮苷在内的天然黄酮类化合物植物提纯,合成,纵深开发与运用,产品广泛应用于保健品,食品添加剂,药品与化妆品等大健康及相关产业.主要产品为槐米类,枳实类,综合类植物提取物,具体产品包括槲皮素,芦丁,地奥司明,橙皮苷,黄连素等"
833266.BJ,公司主要从事于灯盏花系列药品的研发、生产与销售，主要产品以灯盏花为基础原料，运用现代精深加工技术实现灯盏花有效成分在药用领域的产业化应用，主要产品灯盏生脉胶囊和灯盏细辛注射液为治疗心脑血管疾病的中成药。具特色的是灯盏细辛系列产品，以灯盏生脉胶囊、灯盏细辛注射液为主导产品。公司拥有较强的技术研发和创新能力，并一贯重视对技术创新和研发的投入。在生产过程中，质量部门对生产全过程进行监督，对原辅料、中间产品、待包装产品和产成品的质量进行全程检测和监控。,"公司专业从事以植物药为主的药品,保健品的研发,生产及市场营销,以灯盏花系列产品为主,已上市产品有灯盏生脉胶囊,灯盏细辛注射液,灯盏细辛胶囊,灯盏花素片,灯盏花滴丸"
833346.BJ,公司前身上海威贸电子有限公司，是一家集研发、生产、销售、服务于一体的民营综合型企业。专业生产各类电子线束、注塑产品、电感线圈、PCBA电子线路板以及代理销售世界品牌连接器。公司于2000年就已通过ISO9001-2000质量体系认证、ISO14001国际绿色环保认证、TS16949汽车体系认证和美国UL认证。产品也均符合相关行业标准以及欧盟ROHS标准。公司一贯以技术创新为核心；以研发新项目、开发新产品为目标；采用网上销售模式，在全球知名搜索网站上均有搜索关键词，销售范围覆盖全球。公司凭借广泛的采购网络、充足的原厂货源、强大的售后服务系统为基础，能够全方位保证实现客户的最大利益。,"电子线束,注塑产品,电感线圈,PCBA电子线路板等各类电子产品的生产加工及销售"
833394.BJ,公司(原烟台美士达特种纸业股份有限公司)是在烟台泰和新材集团(原烟台氨纶集团)芳纶纸项目基础上组建而成的国有股份制企业，专业生产销售芳纶纸及其衍生产品，民士达股份的经营范围：芳纶纸及其衍生产品的制造、销售；货物和技术的进出口；以自有资金投资(未经金融监管部门批准，不得从事吸收存款、融资担保、代客理财等金融业务)。主营业务：芳纶纸及其衍生产品的制造、销售。,"间位芳纶纸系列产品,对位芳纶纸系列产品"
833427.BJ,公司是一家提供道路、桥梁、建筑、风景园林、城市规划、亮化等工程设计服务及多行业工程咨询服务(包括为公路、市政公用、建筑、医药、轻工、农业等行业编制项目建议书、可行性研究报告、申请报告、资金申请、规划咨询、评估咨询、招投标咨询等)的专业化公司。,工程设计及咨询
833429.BJ,公司是中国第一家集研发、生产、销售运动营养食品于一体，并提供运动营养技术服务的高新技术企业，长期以来一直为国家级专业运动员和大众健身人群提供安全有效的系列化运动营养食品和专业化技术咨询服务，经过近十年的飞速发展，康比特的市场份额稳居国内同行业榜首。2006年7月，康比特公司投资建设的“运动营养产业基地”将落成投产，产业基地将成为整合运动营养行业上下游企业的“产业孵化器”，产业基地的投入使用是我国运动营养行业向产业化方向迈进的重要标志。,"公司是一家集运动营养,健康营养食品研发与制造,数字化体育科技服务为一体的创新型体育科技公司,致力于为竞技运动人群,大众健身健康人群,军需人群提供运动营养,健康营养食品及科学化,智能化运动健身解决方案.公司的主要产品与服务为:运动营养食品,健康营养食品,数字化体育科技服务和受托加工业务等."
833454.BJ,公司(原许昌万向汽车传动轴有限公司)创建于2001年，坐落于许昌市民营科技园北园，占地面积80000平方米，2015年迁至许昌市经济技术开发区长庆街南侧，是专业研发制造各类汽车转向装置传动轴的大型企业。主要为轻、中、重及特种汽车、工程机械、轧钢机械、内燃机等产品配套。产品吸收德、美、日等国先进技术，设计新颖，性能稳定，畅销国内外，是同行业中生产周期最短，品种最齐全，服务最到位的专业化生产厂家。,"汽车传动轴,机械配件的生产,销售."
833509.BJ,"公司成立于1999年，公司主营业务是各种电子测试与测毋仪器的设计、研发、生产、销售和技术服务，以及解决方案的提供和实施，公司主要产品是元器件参数测试仪器：变压器、电机、线圏类测试仪：电气安规测试仪：电阻类测试仪器等电子测试仪器产品。公司产品广泛应用于工业电子制造、教育科研、通讯、军工和电力等领域，公司成立以来,一直致力于电子测试与测量仪器产品及技术的研发，绝大部分产品依赖自主研发与生产，在积累一定的行业和技术经验后，逐渐创立了自主品牌.近几年实现业务快速成长。公司已成为拥有自主知识产权的高新技术企业，是业内电子测试与测试仪器行业中产品线较全、品质较高、信誉良好的民族品牌电子测试设备制造商。","元件参数测试仪器,绕线元件测试仪器,电气安规测试仪器,电阻类测试仪器,电力电子测试仪器,台式数字多用表等电子测试与测量仪器的研发,生产,销售和技术服务"
833523.BJ,公司专注于锂锰电池、锂铁电池等锂一次电池的研发、生产和销售，为客户提供能量密度高、使用寿命长、适用温度范围广、绿色环保电池解决方案。公司主要产品为锂锰电池及锂铁电池，其中锂锰电池包括锂锰圆柱形电池产品系列及锂锰软包电池产品系列。公司产品主要应用于物联网、智能仪器仪表、智能安防、智能家居、GPS追踪器、RFID标签等领域，已获得UL、UN、CE、RoHS等多项认证。公司具有稳定的客户群体，并为其提供优质的服务。公司已与众多全球知名品牌公司建立稳定的合作关系。,"锂锰电池,锂铁电池等锂一次电池产品的研发,生产和销售"
833533.BJ,公司成立于2005年6月，公司主要发展沿革为：2015年9月新三板挂牌，2022年5月北交所上市。公司以汽车零部件的研发、生产、销售为核心业务，为汽车制造商及其零部件制造商等核心客户群体提供符合行业发展趋势及满足应用需求的零部件产品。经过十余年的发展，公司现已形成集产品同步设计、工艺制程开发、模具研发制造、精密注塑成型、金属部件加工、系统部件装配集成于一体的综合制造与服务能力，主要产品涵盖汽车塑料零部件、汽车金属零部件及配套模具等。通过多年的经营积累、持续的研发投入和技术创新，公司获得了全球领先汽车制造商及零部件配套企业的认可，并与其形成长期稳定的合作关系，服务的客户包括全球轴承巨头斯凯孚、全球汽车零部件百强企业安通林及安波福、全球领先的新能源汽车制造商、世界五百强企业广达集团及和硕联合，直接或间接服务的汽车制造商涵盖福特、捷豹路虎、通用、大众等欧美品牌，日产、丰田等日系品牌，以及吉利、比亚迪等国产自主品牌。在“以塑代钢”的背景下，公司以提供更具使用价值的汽车塑料零部件以迎合“汽车轻量化”的发展趋势，顺应以“碳中和”“碳达峰”为核心的绿色低碳发展理念，与多家国际知名企业建立了长期稳定的合作关系。随着新能源汽车产业的发展，新能源汽车的销量持续提升，诸如新能源汽车三电系统保护、支撑等场景应用的塑料零部件需求也不断增加。,"研发,生产,销售的主要产品为汽车塑料零部件,汽车金属零部件,以及配套产品制造所需要的模具"
833575.BJ,"公司创建于2008年4月,公司是注册于北京经济技术开发区的一家高新技术企业。公司由深圳市创新投资集团有限公司、北京天牛投资有限公司、北京江林威华生物技术有限公司共同投资兴建，是一家从事新型疫苗研究、开发和产业化的创新驱动型生物制药企业，在新型重组疫苗研发方面具有国内外领先的核心技术与研发能力。公司自成立以来，先后被认定为“北京市专利引擎试点单位”、“中关村高新技术企业”、“开发区企业创新中心”、“北京市科技开发研究机构”、“国家高新技术企业”，以及“开发区海外高层次人才创办企业”等。","基于结构设计的重组蛋白类生物制品研发,目前研发项目主要为系列人乳头瘤病毒(HPV)疫苗等."
833580.BJ,公司是集耐火材料研发、生产、销售和应用为一体的现代化民营企业。公司是经河南省科技厅等部门认定的高新技术企业，是河南省科技型中小企业、洛阳市科技企业以及红山乡年度功勋企业，获得福布斯中国100强潜力企业证书。公司通过了ISO9001以及GB/T19001标准要求的质量管理体系认证，获得A级纳税信用等级证书。此外，公司内部还制定了高于行业基本水平的产品质量安全监督管理体系，保证了产品质量安全。公司与中钢洛阳耐火材料研究院、武汉冶金科技大学、河南科技大学和郑州轻金属研究院等科研院校保持长期合作，研制、开发和生产了多种耐火材料，广泛用于冶金、有色、玻璃、陶瓷、水泥、石化、电力等行业；科学的生产工艺、先进的生产设备、精密的检测手段和严格的管理体系，是公司为客户提供优良产品和优质服务的坚实基础。,"发行人的主营业务是钢铁,有色等工业用耐火材料的研发,生产和销售.公司主要产品为功能耐火材料,不定形耐火材料和定型耐火材料,其中功能耐火材料是公司最核心的产品."
833781.BJ,公司始建于1987年，2003年改制为全资民营有限责任公司，现为四川省特祌设备安全管理协会副秘书长单位和压力容器工作部主任单位。公司座落在美丽的天府之国成都平原--青白江区工业集中发展园区，紧邻成绵高速、成都第二绕城高速，大件路(超大型设备可直通乐山水运码头)、成青快速通道和成都国际铁路集装箱中心站及物流园区，有十分便利的大型设备的运输优势。,"公司为高端过程装备专业提供商,主要从事大型压力容器,智能集成装置,油气钻采专用设备等产品的设计,研发和制造,电力专用设备的加工及锂电,核能工程施工等业务,能够为核能,新能源,石油化工,环保等领域的客户提供节能减排,清洁降耗的整体解决方案及综合服务"
833819.BJ,公司是以研发为基础、以市场需求为先导的农化产品供应商，主营业务为农药原药、中间体及制剂产品的研发、生产、销售和GLP技术服务。公司自成立以来秉持“担当、创新、协作”的核心价值观，以“让农化更好地服务于社会”为使命，经过多年的积累和创新，已形成品种丰富、工艺技术较为先进的除草剂、杀菌剂、杀虫剂三大品类百余种高品质产品，服务于ADAMA(安道麦)、CORTEVA(科迪华)、NUFARM(纽发姆)、LANXESS(朗盛)等众多全球大型植物保护跨国公司。,"农药中间体,原药及制剂的研发,生产,销售,GLP登记注册技术服务收入和生物技术研究开发."
833873.BJ,公司主营业务为工程设计、工程勘察、科研规划与工程项目管理业务，主要提供国内外城市建设领域内的全过程技术服务。公司主持《城市道路维护工程设计规范》等多项地方行业标准规范的制定以及《城市高速扩展中公路改城市道路关键技术研究》等多项国家建设部立课题，并承担了重庆市20余项重大科技攻关课题研究。公司先后获得“全国优秀民营设计企业”“中国最佳科技创新民营企业”“高新技术企业”等荣誉称号。,"工程勘察设计,工程检测及其他相关工程咨询服务,包括为市政,建筑,交通等行业提供勘察设计及工程检测服务,接受业主委托对工程项目进行项目管理,提供管理咨询服务等"
833914.BJ,公司主营业务为精密镍基导体材料的研发、生产和销售，主要产品用于锂离子电池、锂聚合物电池、镍氢电池、镍镉电池等二次电池产品中，作为精密导体为电池或电池组传输电力；或者作为原材料用于造币。上述各类二次电池最终用于电子产品及动力系统中，例如手机、笔记本电脑、电动工具、电动汽车和自行车、电动玩具，以及储能系统等。,"精密镍基导体材料和精密结构件的研发,生产和销售"
833943.BJ,公司是现代制造服务企业，为客户提供机械零部件产品的“一站式定制”服务。根据客户需求，提供与定制化机械零部件采购有关的全面解决方案，包括产品设计、工艺设计、产品改进、组织生产、过程控制、质量控制、物流运输及售后服务等全面制造服务。公司依靠创新的商业模式，较强的市场开拓能力，形成了良好的客户资源，已经逐步与世界各地一百多家机械行业的知名企业建立了良好、稳定的合作关系。公司在联盟体系中处于核心地位，是第三方制造商提升技术、管理水平的依赖，引领着第三方制造商参与市场竞争。公司目前已获得多项国家专利证书，并有多项专有技术正在申请国家专利。公司及控股子公司已取得了由BV、TUV和DNV等国际权威认证机构颁发的ISO9001/2000、CE/PED及API6D等相关国际认证。,"公司专业从事定制化机械设备及零部件的研发,设计,制造和销售,主要向客户提供油气化工类,工程矿山类,通用类,液压类机械设备及零部件和航空零部件精密加工服务."
